,regio1,serviceCharge,newlyConst,balcony,totalRent,yearConstructed,hasKitchen,cellar,baseRent,livingSpace,typeOfFlat,noRooms,garden,cities,date
51002,Berlin,125.0,False,False,545.0,1890,False,False,420.0,48.0,other,2,True,Berlin,May19
51010,Berlin,160.0,True,True,1740.0,2019,False,False,1580.0,76.94,roof_storey,2,True,Berlin,Feb20
51025,Berlin,207.56,False,True,653.19,1954,False,True,445.63,54.16,ground_floor,2,False,Berlin,Sep18
51070,Berlin,106.65,False,True,590.39,1984,False,False,410.6,68.49,apartment,3,False,Berlin,Sep18
51147,Berlin,170.0,False,True,1295.0,1985,True,True,1125.0,75.0,apartment,3,False,Berlin,May19
51196,Berlin,89.0,False,True,1049.0,1954,True,False,900.0,50.68,ground_floor,2,False,Berlin,Oct19
51300,Berlin,130.0,False,False,684.11,1997,False,True,554.11,59.39,apartment,2,False,Berlin,Feb20
51320,Berlin,131.0,False,True,665.0,1969,False,False,534.0,29.66,apartment,1,False,Berlin,Feb20
51330,Berlin,150.0,True,True,1294.8,2018,True,True,1040.8,65.05,apartment,2,False,Berlin,Oct19
51352,Berlin,147.32,False,True,615.27,1930,False,False,467.94,54.82,apartment,2,False,Berlin,Oct19
51379,Berlin,53.74,False,True,523.97,1985,True,True,443.36,26.87,apartment,1,False,Berlin,Oct19
51382,Berlin,158.0,False,True,889.0,1910,False,False,731.0,65.88,apartment,2,False,Berlin,Feb20
51419,Berlin,204.0,False,True,1486.5,1910,False,False,1282.5,95.0,roof_storey,3,False,Berlin,Feb20
51430,Berlin,400.0,True,True,2900.0,2019,True,True,2500.0,138.0,apartment,4,False,Berlin,May19
51476,Berlin,293.0,True,True,1550.0,2018,True,True,1550.0,81.0,terraced_flat,3,True,Berlin,Oct19
51564,Berlin,79.0,False,False,955.0,1918,False,False,808.0,62.63,apartment,2,False,Berlin,Oct19
51585,Berlin,113.43,False,True,1808.78,1918,True,False,1533.0,109.5,apartment,2,False,Berlin,Feb20
51613,Berlin,222.0,False,False,1785.5,1900,False,False,1393.5,111.48,apartment,4,False,Berlin,May19
51704,Berlin,300.0,False,False,1300.0,1900,True,False,1000.0,53.0,ground_floor,2,False,Berlin,May19
51710,Berlin,180.0,False,True,770.0,1961,True,True,590.0,68.0,apartment,3,True,Berlin,May19
51711,Berlin,100.0,False,True,599.0,1977,False,False,449.0,43.0,apartment,1,False,Berlin,Oct19
51727,Berlin,270.0,False,True,1770.0,1997,True,True,1250.0,90.0,penthouse,2,False,Berlin,May19
51728,Berlin,117.0,False,False,1282.5,1911,False,False,1087.5,75.0,apartment,2,False,Berlin,May19
51744,Berlin,55.0,False,False,570.0,1904,True,False,480.0,29.0,apartment,1,False,Berlin,Feb20
51763,Berlin,183.0,True,True,993.0,2018,True,False,810.0,73.05,apartment,2,False,Berlin,Oct19
51804,Berlin,102.37,False,True,579.05,1985,False,False,415.21,68.01,apartment,3,False,Berlin,Oct19
51807,Berlin,100.0,False,False,430.0,1953,True,False,330.0,39.0,apartment,2,False,Berlin,Feb20
51818,Berlin,145.0,True,True,989.76,2018,True,True,804.76,73.16,roof_storey,2,False,Berlin,May19
51857,Berlin,111.0,False,True,763.68,1985,False,True,597.18,55.5,apartment,2,False,Berlin,May19
